date,maxtp,mintp,rain,people_vaccinated,total_boosters,congestion,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,Retail and Recreation,Grocery and Pharmacy,Parks,Transit Stations,Workplaces,Residential,Daily_Confirmed,Wate Qty
7-Mar-20,13.8,5.8,0.5,0,0,30,0,0,0,0,0,0,0,0,-3,2,11,-3,0,1,0,47.4
8-Mar-20,11.2,5.2,2.7,0,0,24,0,0,0,0,0,0,0,0,-1,1,-2,-4,-1,0,1,12.82
9-Mar-20,12.2,4.8,7.3,0,0,53,0,0,0,0,0,0,0,0,-4,0,-18,-6,-1,2,1,58.66
10-Mar-20,12,5.1,2.4,0,0,55,0,0,0,0,0,0,0,0,1,11,8,-5,0,1,2,36.58
11-Mar-20,11.9,1.7,5.8,0,0,56,0,0,0,0,0,0,0,0,-5,10,-6,-11,-4,3,4,29.34
12-Mar-20,9.4,0.7,2.6,0,0,54,0,1,2,2,0,0,0,0,-7,37,-21,-17,-6,4,21,24.8
13-Mar-20,11.9,4.7,0.8,0,0,30,3,1,2,2,0,0,0,0,-22,13,3,-34,-30,14,8,53.8
14-Mar-20,13.1,5.2,2.3,0,0,18,3,1,2,2,0,0,0,0,-36,1,-12,-36,-14,9,14,28.24
15-Mar-20,10.4,2.6,0,0,0,16,3,1,2,4,0,0,0,0,-40,4,3,-39,-18,9,14,17.66
16-Mar-20,11.1,-1,0.1,0,0,22,3,1,2,4,0,0,0,0,-34,7,14,-50,-54,20,59,35.52
17-Mar-20,15.8,6.2,3.7,0,0,14,3,1,2,4,0,0,0,0,-59,-20,84,-65,-83,30,42,51.06
18-Mar-20,8.4,2.5,0,0,0,23,3,1,2,4,0,0,0,0,-51,-9,2,-57,-54,24,50,28.9
19-Mar-20,9.7,-1,0,0,0,22,3,1,2,4,0,0,0,0,-53,-10,19,-61,-56,26,90,49.94
20-Mar-20,9.1,-2,0,0,0,22,3,1,2,4,0,0,0,0,-57,-8,10,-64,-56,28,82,48.7
21-Mar-20,8.4,5.3,0,0,0,16,3,1,2,4,0,0,0,0,-62,-5,-10,-65,-44,18,67,39.72
22-Mar-20,11,0.6,0,0,0,17,3,1,2,4,0,0,0,0,-63,-12,16,-63,-44,14,62,7.3
23-Mar-20,15.5,0.4,0,0,0,19,3,1,2,4,0,0,0,0,-56,-21,1,-67,-60,26,122,50.16
24-Mar-20,14.2,6.6,0,0,0,20,3,1,2,4,0,0,0,0,-57,-9,9,-69,-62,27,114,46.14
25-Mar-20,16.1,5.1,0,0,0,19,3,1,2,4,0,0,0,0,-66,-17,19,-70,-64,29,143,55.88
26-Mar-20,13.1,3,0,0,0,19,3,1,2,4,0,1,1,0,-67,-17,10,-72,-65,30,145,48.62
27-Mar-20,10.6,3.3,0,0,0,19,3,3,2,4,2,1,1,0,-68,-14,-15,-74,-65,31,155,41.78
28-Mar-20,10.3,5,0,0,0,11,3,3,2,4,2,2,2,0,-82,-22,-61,-80,-59,23,155,0.78
29-Mar-20,7,0,0,0,0,8,3,3,2,4,2,2,2,0,-85,-35,-64,-82,-58,21,87,10.78
30-Mar-20,9.1,-1,0,0,0,14,3,3,2,4,2,2,2,0,-78,-31,-43,-81,-76,34,153,45.82
31-Mar-20,10.7,2.1,0,0,0,15,3,3,2,4,2,2,2,0,-77,-25,-23,-80,-77,34,190,37.58
1-Apr-20,11.2,5.2,0,0,0,15,3,3,2,4,2,2,2,0,-78,-26,-30,-81,-77,36,235,43.88
2-Apr-20,12.3,5.6,1.1,0,0,16,3,3,2,4,2,2,2,0,-78,-26,-44,-82,-77,38,172,42.02
3-Apr-20,12.2,5.5,0.3,0,0,16,3,3,2,4,2,2,2,0,-77,-23,-33,-82,-76,38,235,29.44
4-Apr-20,12.6,6.9,0,0,0,12,3,3,2,4,2,2,2,0,-80,-22,-40,-79,-62,23,195,2.75
5-Apr-20,17.6,8.9,1.1,0,0,9,3,3,2,4,2,2,2,0,-81,-30,-51,-81,-57,21,369,0.78
