date,congestion
12/30/2019,26
12/31/2019,25
1/1/2020,14
1/2/2020,31
1/3/2020,32
1/4/2020,23
1/5/2020,20
1/6/2020,48
1/7/2020,50
1/8/2020,48
1/9/2020,52
1/10/2020,50
1/11/2020,30
1/12/2020,23
1/13/2020,45
1/14/2020,56
1/15/2020,56
1/16/2020,67
1/17/2020,55
1/18/2020,30
1/19/2020,24
1/20/2020,60
1/21/2020,64
1/22/2020,64
1/23/2020,62
1/24/2020,56
1/25/2020,33
1/26/2020,24
1/27/2020,50
1/28/2020,59
1/29/2020,62
1/30/2020,61
1/31/2020,55
2/1/2020,33
2/2/2020,25
2/3/2020,53
2/4/2020,58
2/5/2020,59
2/6/2020,60
2/7/2020,55
2/8/2020,36
2/9/2020,21
2/10/2020,50
2/11/2020,65
2/12/2020,63
2/13/2020,61
2/14/2020,61
2/15/2020,31
2/16/2020,22
2/17/2020,46
2/18/2020,54
2/19/2020,56
2/20/2020,58
2/21/2020,52
2/22/2020,30
2/23/2020,21
2/24/2020,54
2/25/2020,60
2/26/2020,62
2/27/2020,61
2/28/2020,55
2/29/2020,30
3/1/2020,23
3/2/2020,58
3/3/2020,63
3/4/2020,60
3/5/2020,61
3/6/2020,57
3/7/2020,30
3/8/2020,24
3/9/2020,53
3/10/2020,55
3/11/2020,56
3/12/2020,54
3/13/2020,30
3/14/2020,18
3/15/2020,16
3/16/2020,22
3/17/2020,14
3/18/2020,23
3/19/2020,22
3/20/2020,22
3/21/2020,16
3/22/2020,17
3/23/2020,19
3/24/2020,20
3/25/2020,19
3/26/2020,19
3/27/2020,19
3/28/2020,11
3/29/2020,8
3/30/2020,14
3/31/2020,15
4/1/2020,15
4/2/2020,16
4/3/2020,16
4/4/2020,12
4/5/2020,9
4/6/2020,15
4/7/2020,16
4/8/2020,16
4/9/2020,17
4/10/2020,17
4/11/2020,14
4/12/2020,9
4/13/2020,8
4/14/2020,16
4/15/2020,17
4/16/2020,17
4/17/2020,17
4/18/2020,13
4/19/2020,10
4/20/2020,15
4/21/2020,17
